Instances,algo_fixed_angles_constant,algo_fourier,algo_interp,algo_qibpi,algo_random,algo_three_regular,algo_tqa,feature_algebraic_connectivity,feature_average_distance,feature_bipartite,feature_clique_number,feature_coefficient_of_variation,feature_density,feature_diameter,feature_edge_connectivity,feature_entropy,feature_eulerian,feature_first_quartile,feature_group_size,feature_interquartile_range,feature_is_distance_regular,feature_kurtosis_weight,feature_laplacian_largest_eigenvalue,feature_laplacian_second_largest_eigenvalue,feature_maximum_degree,feature_maximum_weighted_degree,feature_mean_weight,feature_median_weight,feature_minimum_degree,feature_minimum_dominating_set,feature_minimum_weighted_degree,feature_number_of_cut_vertices,feature_number_of_edges,feature_number_of_minimal_odd_cycles,feature_number_of_orbits,feature_planar,feature_radius,feature_ratio_of_two_largest_laplacian_eigenvaleus,feature_regular,feature_skewness_weight,feature_smallest_eigenvalue,feature_std_dev_weight,feature_third_quartile,feature_variance_weight,feature_vertex_connectivity,feature_weighted_average_clustering,feature_weighted_average_shortest_path_length,feature_weighted_diameter,feature_weighted_radius,Source
59e94279b43b4b2b9a81197ee0bc7bb8,100000.0,100000.0,1395.0,15.0,100000.0,15.0,90.0,0.064318584109373,2.257575757575758,0,3,0.6342000160600192,0.2727272727272727,4,2,0.1155245300933242,0,0.2527711252407002,2.0,0.5768408060827795,0,-1.3726724089995543,5.633723421095624,0.4471187314896065,3,2.4769445735230717,0.5217676798721125,0.5466645730349882,3,3,0.8025168463859647,0,18,2,11,1,3,12.600061290938292,1,-0.0580000390401395,3.8857805861880484e-16,0.3309050709544927,0.8296119313234798,0.1094981659833978,2,0.1387859011170535,0.7954902896269048,1.890329832265245,1.121248419755809,3-Regular Graph
d7383bb641054fc08b2fabc932c6c785,38.0,1420.0,342.0,16.0,100000.0,28.0,25.0,0.9820437207476655,1.5151515151515151,0,4,0.554743088753689,0.5,3,4,0.0,0,0.2982016189556769,1.0,0.3196569749980498,0,-0.5407216504086167,10.139945630544794,2.469422330774389,8,4.53558205714166,0.4523926933301515,0.4154087214975077,4,4,1.2600921162605347,0,33,6,12,0,2,4.106201480475393,0,0.1781108435545647,3.552713678800501e-15,0.2509617200275686,0.6178585939537268,0.0629817849191957,4,0.1609365613950307,0.443377125474174,0.8072251426507462,0.5181272455191133,Uniform Random
dbb30d924eaa49f5b3d67849f6ab47d0,95.0,2084.0,1095.0,77.0,100000.0,77.0,68.0,0.0728471716715853,2.106060606060606,0,3,1.1095323225449856,0.2727272727272727,4,3,0.0,0,0.0555695005648011,1.0,0.2326391303422723,0,5.2983429445419805,5.338660949418403,0.7294025645915544,3,1.3352151465305018,0.2058467781063319,0.135578648197227,3,5,0.108250622292553,0,18,6,12,1,3,7.319224264597847,1,2.2385182004446738,2.220446049250313e-16,0.2283936538007208,0.2882086309070734,0.0521636610964435,3,0.0276794637326107,0.2671102019901589,0.6392010226566289,0.416346461313106,3-Regular Graph
8a9ce841936d4ca68441a258171423d4,121.0,100000.0,268.0,17.0,67.0,21.0,23.0,0.4249030226965056,1.4545454545454546,0,3,0.9974101767065172,0.5454545454545454,2,5,1.525291855875951,0,0.0723258265930802,60480.0,0.194724420788572,0,5.643214705477108,12.000000000000004,4.9999999999999964,8,2.8170657187598893,0.1954214366739907,0.1151649152803085,5,7,0.4747747775185564,0,36,7,3,0,2,2.4000000000000026,0,2.097080762171512,1.0469240516412554e-15,0.1949153296852465,0.2670502473816522,0.0379919857463083,5,0.0190270469852609,0.1079889703112718,0.2166482083335396,0.1270213965158532,Nearly Complete BiPartite
f3de29f3c81a414d897c6cb031079dd7,100000.0,100000.0,819.0,31.0,100000.0,28.0,80.0,0.0,2.893939393939394,1,2,0.5478325491601642,0.1666666666666666,6,1,0.8958797346140276,0,0.4171391491276019,720.0,0.2865813804806723,0,-0.6031865966953127,8.024922341666793,0.1226977291546359,7,3.136182894689414,0.5516225471666883,0.6642723578089098,1,9,0.0,5,11,0,7,1,3,65.40400052190844,0,-0.586170289150957,-9.262157462131811e-17,0.3021967861885498,0.7037205296082742,0.091322897582688,1,0.0,1.7402323270688411,4.315872394184698,2.586162304714006,Power Law Tree
d155d01ef07d45d9aa719ef468dde18b,100000.0,100000.0,501.0,214.0,100000.0,214.0,66.0,0.1282155453826995,1.9696969696969695,0,2,0.7769260878594083,0.2727272727272727,3,3,0.6931471805599453,0,0.1245193324047342,2.0,0.4106330779136677,0,-0.2658139274235265,5.670896456565075,1.066192692393425,3,1.69145003580403,0.3437531987583645,0.3022030110397328,3,4,0.5164640807609546,0,18,2,6,0,3,5.318828854317935,1,0.6267114352078109,8.881784197001252e-16,0.2670708279004937,0.535152410318402,0.0713268271154551,3,0.0,0.5061687883998365,1.0246036769462998,0.7181319466262434,3-Regular Graph
bd0c97f534d94324b792e1522af3254f,100000.0,100000.0,100000.0,100000.0,100000.0,562.0,100000.0,0.0,2.287878787878788,1,2,2.465575507867173,0.1666666666666666,4,1,1.1351142536155994,0,0.014977665695053,5040.0,0.0112518123889708,0,5.954688391918392,9.043446091213635,0.2347922953905132,8,1.0428577634609926,0.1140923951822706,0.020899824089633,1,9,0.0,3,11,0,6,1,2,38.51679236821769,0,2.805130717923691,2.2394269184731513e-16,0.2813034151953092,0.0262294780840238,0.0791316114005445,1,0.0,0.3521829715596523,1.134623204258471,1.0116645187468472,Power Law Tree
0593f6e49b5842cdaa3eaf04fcc28853,100000.0,100000.0,668.0,19.0,100000.0,42.0,112.0,0.2359286792910198,1.7727272727272727,0,3,0.4754955419770776,0.2272727272727272,2,1,1.039720770839918,0,0.3980894183238908,384.0,0.4104233905374059,0,-0.6758466151720501,12.000000000000004,0.9999999999999988,11,5.971778966752744,0.5677243939270983,0.5141115119385352,1,8,0.2260922642628656,1,15,4,5,1,1,12.00000000000002,0,-0.2318232201687834,-1.4529537514163782e-15,0.2699504183839735,0.8085128088612967,0.0728732283856823,1,0.219202981396802,0.9523757697946302,1.8453134759480136,0.934964898908287,Nearly Complete BiPartite
46e559b361e34b4f852dc547007f8893,84.0,100000.0,100000.0,35.0,180.0,63.0,36.0,1.075216213140494,1.5909090909090908,0,4,0.6166820425593973,0.4545454545454545,3,2,0.0,0,0.1666668758898896,1.0,0.6516380943233846,0,-1.3990557215751864,8.84957029130959,1.7043320571219356,7,5.258728071172753,0.5395583305626569,0.6844694485784366,2,5,1.7151353820015367,0,30,13,12,0,2,5.192397956917882,0,-0.3300342584539022,0.0,0.3327359333713177,0.8183049702132743,0.110713201356482,2,0.1421316183516809,0.5784772455392259,1.677085425704607,0.8483010037057175,Uniform Random
8d8f857205fd4b56afce4dbcf0584173,171.0,100000.0,655.0,30.0,100000.0,39.0,69.0,0.2205263272048182,1.803030303030303,0,3,0.5610555034995262,0.1969696969696969,2,1,1.5972123739888962,0,0.2642691600092967,40320.0,0.6513119751849976,0,-1.2472311851911555,12.0,0.9999999999999992,11,5.913521638695855,0.5726444488241161,0.5927175696504845,1,1,0.2136908238956643,1,13,2,3,1,1,12.00000000000001,0,-0.1276381690728027,0.0,0.3212853195612231,0.9155811351942944,0.1032242565655572,1,0.0688678427637574,0.9839218098700137,1.9963717377860768,1.0,Nearly Complete BiPartite
