Instances,algo_fixed_angles_constant,algo_fourier,algo_interp,algo_qibpi,algo_random,algo_three_regular,algo_tqa,feature_algebraic_connectivity,feature_average_distance,feature_bipartite,feature_clique_number,feature_density,feature_diameter,feature_edge_connectivity,feature_entropy,feature_eulerian,feature_group_size,feature_is_distance_regular,feature_laplacian_largest_eigenvalue,feature_laplacian_second_largest_eigenvalue,feature_maximum_degree,feature_maximum_weighted_degree,feature_minimum_degree,feature_minimum_dominating_set,feature_minimum_weighted_degree,feature_number_of_cut_vertices,feature_number_of_edges,feature_number_of_minimal_odd_cycles,feature_number_of_orbits,feature_planar,feature_radius,feature_ratio_of_two_largest_laplacian_eigenvaleus,feature_regular,feature_smallest_eigenvalue,feature_vertex_connectivity,feature_weighted_average_clustering,feature_weighted_average_shortest_path_length,feature_weighted_diameter,feature_weighted_radius
d1dbb91dea6948079ecf2e455111d344,100000.0,100000.0,887.0,18.0,100000.0,26.0,45.0,0.066644118065686,2.9393939393939394,1,2,0.1666666666666666,6,1,0.4620981203732968,0,24.0,0,6.160164312033127,0.133288236131372,5,2.5,1,8,0.5,5,11,0,9,1,3,46.21686422469815,0,5.12482262492523e-17,1,0.0,1.4696969696969695,3.0,1.5
e956110594704c72b681bf46a3a615d7,145.0,100000.0,465.0,100000.0,100000.0,17.0,24.0,1.9999999999999991,1.2878787878787878,0,6,0.7121212121212122,2,6,0.6931471805599453,0,8.0,0,12.000000000000004,3.9999999999999942,11,5.5,6,2,3.0,0,47,36,7,0,1,3.0000000000000053,0,1.7763568394002505e-15,5,0.7867544492544494,0.6439393939393939,1.0,0.5
ff382fc01dc54f01a0f4893d4f6f2ac9,21.0,1223.0,221.0,14.0,52.0,22.0,23.0,1.4999999999999998,1.5909090909090908,1,2,0.4090909090909091,2,3,1.922571505169192,0,2177280.0,0,12.000000000000002,2.9999999999999987,9,4.5,3,3,1.5,0,27,0,2,0,2,4.000000000000003,0,1.7763568394002505e-15,3,0.0,0.7954545454545454,1.0,1.0
a634f0a3fbac496fa6dfab1791dcc671,58.0,2561.0,432.0,15.0,28.0,12.0,24.0,0.5708963774262477,1.7575757575757576,0,4,0.3636363636363636,3,2,0.1155245300933242,0,2.0,0,7.725905494003205,1.1417927548524984,6,3.0,2,4,1.0,0,24,10,11,0,2,6.766469187309977,0,1.7763568394002505e-15,2,0.5361111111111111,0.8787878787878788,1.5,1.0
44700847c62143c1b12658a2d981081d,100000.0,1853.0,692.0,15.0,100000.0,16.0,39.0,1.2017935887936424,1.5303030303030305,0,4,0.4848484848484848,3,3,0.0,0,1.0,0,8.990115512385785,2.4035871775872817,7,3.5,3,3,1.5,0,32,11,12,0,2,3.740291010126811,0,4.440892098500626e-16,3,0.4158730158730159,0.7651515151515151,1.5,1.0
358d3337c330447390212c39d59d9475,100000.0,100000.0,441.0,37.0,100000.0,17.0,27.0,0.1990276904395859,1.8636363636363635,0,6,0.4393939393939394,4,1,0.2746530721670274,0,6.0,0,8.685053267699196,0.3980553808791708,7,3.5,1,3,0.5,2,29,17,10,0,2,21.81870585072064,0,-3.3306690738754696e-16,1,0.6015873015873017,0.9318181818181818,2.0,1.0
0c10df5d011342cd87b802614e5ebe75,40.0,1501.0,342.0,9.0,43.0,26.0,17.0,0.5,1.818181818181818,0,3,0.1818181818181818,2,1,1.7634429630954886,0,725760.0,0,12.000000000000004,0.9999999999999998,11,5.5,1,10,0.5,1,12,1,3,1,1,12.000000000000009,0,-1.5549691096372341e-16,1,0.1681818181818181,0.9090909090909092,1.0,0.5
4a1c194ade4144978a83675014302270,29.0,100000.0,268.0,15.0,100000.0,17.0,28.0,2.0,1.4848484848484849,0,3,0.5151515151515151,2,4,1.5018188912132149,0,80640.0,0,11.999999999999996,3.999999999999999,10,5.0,4,3,2.0,0,34,16,4,0,2,3.0,0,1.7763568394002505e-15,4,0.2888888888888889,0.7424242424242424,1.0,1.0
7397ea12f3ed4fecb7abdebb5c1f12b7,65.0,100000.0,100000.0,100000.0,100000.0,27.0,34.0,4.500000000000001,1.0303030303030305,0,11,0.9696969696969696,2,9,1.7634429630954886,0,725760.0,0,12.000000000000004,8.999999999999995,11,5.5,9,1,4.5,0,64,53,3,0,1,1.3333333333333346,0,0.0,9,0.9727272727272728,0.5151515151515151,1.0,0.5
75623f1a222840ddb46b36a9118f7ffc,100000.0,100000.0,439.0,15.0,100000.0,20.0,36.0,0.0716468397598968,2.893939393939394,1,2,0.1666666666666666,6,1,0.3901776022603516,0,12.0,0,5.754247050599533,0.1432936795197942,4,2.0,1,7,0.5,5,11,0,9,1,3,40.15701927595944,0,6.432261916377459e-16,1,0.0,1.446969696969697,3.0,1.5
