graph_type,weight_type,depth,median_beta_0,median_beta_1,median_gamma_0,median_gamma_1
3-Regular Graph,cauchy,2,-0.0035020876178770283,-0.3016604687476981,-1.14775707019104,1.317868292866089
3-Regular Graph,exponential,2,-0.4185545491055602,-0.4769017660644589,-2.0656807351320188,1.4263413746568996
3-Regular Graph,log-normal,2,-0.42361283147299267,-0.2810319506768864,-2.1041763044410553,-2.174211524840666
3-Regular Graph,normal,2,0.6825657726208408,-0.6713296251768204,-0.03570893207521075,1.051819690633602
3-Regular Graph,uniform,2,0.22665237534146465,-0.27079436856524197,0.01513114306541663,-1.5436530436349094
3-Regular Graph,uniform_plus,2,-0.33119070187900124,0.47588366215997346,1.5063026587952018,-1.2637972572646805
4-Regular Graph,cauchy,2,-0.4922686869699843,-0.24714927271346998,-1.051186924939345,1.1208187761317647
4-Regular Graph,exponential,2,-0.04347812554074319,-0.4996335356212316,2.0672959478225157,1.426213948563397
4-Regular Graph,log-normal,2,-0.05154176686488077,-0.2300072162621645,1.788181034712926,-1.701607944969725
4-Regular Graph,normal,2,0.48760621180700814,0.2565302802793733,1.427812332550632,-0.8901263122176302
4-Regular Graph,uniform,2,0.40336452276966756,-0.537870805381593,1.1986995711134478,0.7662254493693677
4-Regular Graph,uniform_plus,2,-0.443385399185513,0.7086869347572222,-1.2269529205301244,-1.004140917006569
Geometric,cauchy,2,0.3243254949446126,0.2496579055099277,0.6225950903531408,0.5600090715281111
Geometric,exponential,2,0.031193785553062542,-0.49692296641826345,0.10597011689558067,1.113353433668708
Geometric,log-normal,2,0.42190042810204076,0.1990318944895991,-1.411533930577614,0.19293251388669536
Geometric,normal,2,-0.1941065652916596,-0.2310565725245599,-1.1069519563042733,0.481570231204245
Geometric,uniform,2,0.4042562758677566,0.2124256620498105,-0.9448963002972235,1.2012994300664377
Geometric,uniform_plus,2,-0.11083635409391968,-0.0006102554699950191,0.054834224841767754,-0.4713761241413539
Nearly Complete BiPartite,cauchy,2,-0.3518105926824434,0.7238118635220654,1.2687117918454707,-0.4743820694552977
Nearly Complete BiPartite,exponential,2,0.45804636733659054,0.2676596054861141,-0.0968047529325583,-1.2917900098214403
Nearly Complete BiPartite,log-normal,2,1.0292666974997313,-0.4455449257792464,0.4071610150599634,-1.8296243072252438
Nearly Complete BiPartite,normal,2,-0.14123564873024833,-0.805959767444691,-1.308069114121313,0.6140185256772928
Nearly Complete BiPartite,uniform,2,-0.4423476799367986,-0.27311375223946976,-1.4623876962332951,-0.02049802368400666
Nearly Complete BiPartite,uniform_plus,2,-1.0743538492544888,1.0099811302257131,-0.03388755190982795,-0.1576170070168682
Power Law Tree,cauchy,2,-0.03455297024083412,-0.5054658500297822,-1.756947390082237,-1.422101786687965
Power Law Tree,exponential,2,0.034963075928953924,-0.2187820207107926,0.05933007242272392,-0.041597271083054665
Power Law Tree,log-normal,2,0.2871286321497178,0.26508610479512545,-2.184481776804555,1.8045933382005475
Power Law Tree,normal,2,-0.4830195056096853,-0.2765565494901664,1.9359546552012534,-1.5544165526351676
Power Law Tree,uniform,2,0.6886536866265215,0.23911064404302795,-1.940402000485414,-0.02215512431114508
Power Law Tree,uniform_plus,2,0.3702573275501213,-0.21641979139580808,-1.6176931622011865,-1.6327951981609334
Uniform Random,cauchy,2,-0.4186306039074472,0.28222537646620094,1.0494210215778415,-0.49023007973255517
Uniform Random,exponential,2,-0.06763265102000479,0.21755148981439726,-1.73542606743291,0.07625530507311967
Uniform Random,log-normal,2,-0.31734678379587755,-0.006550048113060453,0.17718730084305556,2.1286249210570407
Uniform Random,normal,2,-0.28916624186563983,-0.7041387223008457,1.380932000854295,-0.09299240268130893
Uniform Random,uniform,2,-0.35030011797840943,-0.48654495777161455,-0.02865349671812234,0.4596208587784344
Uniform Random,uniform_plus,2,0.3569609891248022,0.266092459931076,0.03349680392150467,-1.2873722599860256
Watts-Strogatz small world,cauchy,2,-0.37773177302313293,0.26796130646027494,-0.07328442834957744,1.1251399969678242
Watts-Strogatz small world,exponential,2,0.40140604485584974,0.23477928764482386,1.7040438713755766,2.292355585037853
Watts-Strogatz small world,log-normal,2,-0.01869852927248744,0.2613406710495511,-1.9384535882412357,1.5497476948613542
Watts-Strogatz small world,normal,2,-0.48290433562680357,0.008371517512663601,1.1548627538853764,0.7398838683891069
Watts-Strogatz small world,uniform,2,-0.17373722799144053,0.23530831970889504,-1.2143769277595853,0.811050176573519
Watts-Strogatz small world,uniform_plus,2,0.02114436689166256,-0.000761902926361413,-1.156400881623528,0.8275183016941721
