graph_type,weight_type,depth,median_beta_0,median_beta_1,median_beta_2,median_gamma_0,median_gamma_1,median_gamma_2
3-Regular Graph,cauchy,3,0.011732034565290345,0.6239491764907255,0.42945408818743613,-1.168908403442982,-0.5692740153863063,0.910286990052735
3-Regular Graph,exponential,3,-0.793070512604787,0.9018641166328716,-0.23716483805073668,-1.5149628813892808,1.1549356095695293,-1.2392955984572014
3-Regular Graph,log-normal,3,-0.46957737030686647,0.44027971243300823,-0.17424565848440668,-0.1726187375121121,-1.3971554787257496,-1.769872716532204
3-Regular Graph,normal,3,0.22586481680498982,0.4009036420655754,0.26978638914985154,1.4521496062320325,0.008487555991067541,1.0728846256593263
3-Regular Graph,uniform,3,-0.7019787693675509,0.6148000048122753,0.20918291577459164,-1.5085556525523305,0.9460946042072732,0.10166439761905202
3-Regular Graph,uniform_plus,3,0.5025121817828818,-0.3897184678003551,-0.015177589341825726,1.2693210574385176,0.05895092603577601,-0.00873467921397647
4-Regular Graph,cauchy,3,-0.2526102525279546,-0.36949524625196317,-0.024372592955190536,-1.151249863525285,-0.6130176255225894,-0.6915507240723213
4-Regular Graph,exponential,3,0.471420795395192,0.5271800633044987,-1.3547065599195443,1.6498042053330502,-0.5170944181327379,0.6120619232375027
4-Regular Graph,log-normal,3,-0.37169345493796724,0.4223211068765584,-0.6537364130473986,-0.06570012661621827,1.6088955865899328,0.8890155370894497
4-Regular Graph,normal,3,0.12879224379988552,0.745373164986207,0.20675386459103187,-1.1164793758176845,0.8294000270368453,-0.05940677372266351
4-Regular Graph,uniform,3,0.2809021498109702,-0.2893316222027258,-0.24754503880068068,0.014104376985520528,-1.1589401816147211,-0.5815200842357672
4-Regular Graph,uniform_plus,3,-0.16322930735435748,-0.32202340493645454,0.1935998929275738,-1.2088015891869595,1.6889611415832948,-0.5072661392645806
Geometric,cauchy,3,0.5810199014802125,0.40243077603469357,0.18594670263822474,0.7267222990307751,-0.23569452277492642,0.1893895730107738
Geometric,exponential,3,0.4543083593215547,-0.08523968025146621,-0.24065795123720907,-1.6389827022010657,1.2815763362517376,0.1694566931380846
Geometric,log-normal,3,0.5382877845720107,0.27943875433344234,-0.152723715071454,-1.7320883962134637,3.146794752443816,0.5680075506113362
Geometric,normal,3,-0.17051432300833494,0.43158148028222265,0.1991190633180119,-0.8222432726134313,-0.39528885020121296,0.006611008096054083
Geometric,uniform,3,-0.3855305079774112,0.2686231997754611,0.16962119566178252,-0.8544375219403869,-0.9904948347768014,0.29048104087446525
Geometric,uniform_plus,3,-0.16955284912299912,-0.30131031197666425,0.500211211317676,0.7670995561194336,-0.47087957021303295,-0.3374519788147623
Nearly Complete BiPartite,cauchy,3,0.31651431775697314,-0.7231756041249463,-0.2988433579860056,0.6506273317438864,-1.426064907068593,0.6744845781486235
Nearly Complete BiPartite,exponential,3,0.43248703676952194,-0.1472142787247608,-0.5337612048975104,-1.421585693520805,-2.7856900815399115,-0.11033708928536129
Nearly Complete BiPartite,log-normal,3,0.3282697644867746,-0.06289777821591572,0.6750164988493925,1.4243815712439662,-0.6583629461761146,-0.9572328752146859
Nearly Complete BiPartite,normal,3,0.17837642037013193,0.3958902412128025,0.41858721370478436,1.1228802371892033,0.16450924688326662,0.6772416996593729
Nearly Complete BiPartite,uniform,3,0.36836572723676264,-0.6447763284473056,0.24084729756270074,-1.2268642138223531,1.01910237882142,-0.8578700106032362
Nearly Complete BiPartite,uniform_plus,3,0.4366077259043005,-0.37882349578333707,0.6737922620253992,1.1084199866519204,-0.9933320875119404,-0.4897157446551691
Power Law Tree,cauchy,3,0.47842239774294054,0.8086678245992724,-0.9597654032930338,-1.6726566976392325,0.8476594660843217,-0.9933489255634744
Power Law Tree,exponential,3,-0.19162955236774154,-0.6739475391920813,-0.23951975454685054,-0.18597975161627178,-2.238372872810166,0.7544169784679666
Power Law Tree,log-normal,3,0.332374877130693,0.46686782960815437,0.031439882048193174,2.2917767336641997,-0.558163906538131,-0.291943261048979
Power Law Tree,normal,3,0.2968261602651422,-0.37056947774959687,0.2527472583580437,2.0102198914703737,-0.8413147669771758,0.44626306578035335
Power Law Tree,uniform,3,-0.4036298940846977,-0.5029341739183817,-0.23021822515310686,-1.50532529619655,-1.899289855394883,1.0011452247141246
Power Law Tree,uniform_plus,3,0.5769310098479399,0.7418441558600224,-0.2261973450827026,1.8826952640506596,0.16870951330391004,-0.03555422185308724
Uniform Random,cauchy,3,0.4657420433942705,0.31632612483833755,0.4494268302763441,0.7825487547341808,0.8206173708310418,-1.3363304589166587
Uniform Random,exponential,3,0.4490742739348556,0.578079221634597,-0.47058344070602837,-1.3352756539330306,-1.6327733483121876,0.7809133730490596
Uniform Random,log-normal,3,0.15265278561760692,-0.21798992858299607,-0.19111516559378114,0.09865194764144569,-3.1208413175470784,-0.5710714020761155
