graph_type,weight_type,depth,median_beta_0,median_beta_1,median_beta_2,median_beta_3,median_beta_4,median_gamma_0,median_gamma_1,median_gamma_2,median_gamma_3,median_gamma_4
3-Regular Graph,cauchy,5,0.5498245216293844,-0.010435510728273145,0.4632879150382956,0.7023416723070359,0.012320231783476562,-1.050860863921533,-1.1844745871115459,-0.29830327031434073,-0.021133908280911662,-1.2697663222526168
3-Regular Graph,exponential,5,0.48468691581140266,0.4967194407420791,-0.5985789010817243,0.891522343082199,-0.2251367833723783,-1.2732589285897178,0.10465529602420248,-1.5471743969848033,-1.7114383570945013,1.853253581680449
3-Regular Graph,log-normal,5,0.4675460856405497,-0.22634114525135188,-0.21062230549675093,0.25868403135641066,-0.1961374806235295,1.7708725708682178,2.298498284834661,1.5161597182958553,0.006703045970291283,0.9843300489103237
3-Regular Graph,normal,5,-1.038158514235447,0.07374282759631887,-0.9542756837604423,-0.01467301537974295,0.12567718856921983,1.1970429052050342,0.9886858679591193,-2.0571527858282397,0.12496259843943733,0.13234803680244348
3-Regular Graph,uniform,5,0.6226639552547527,0.501413924174524,-0.09514247104020312,0.8017956902488568,-0.00918797459226512,1.0424147648655344,1.500543679218098,-0.47888759250837326,0.756935404264522,0.8111862130613112
3-Regular Graph,uniform_plus,5,0.17414504792975166,-0.4811331699727429,-0.7690781857884574,0.036873703135874944,-0.19281836079504858,-1.3102703344849929,2.358809666023481,1.2012308817889772,-0.39179293571984625,-1.5850860076683504
4-Regular Graph,cauchy,5,-0.9906871617141271,-0.5078629261834906,-0.44828099979653124,0.4390230655656733,-0.5109527030587525,-0.0739004148732601,0.8645493809961118,1.0423553835003911,1.0639312733378916,1.1112157511438208
4-Regular Graph,exponential,5,0.5296465658923589,0.46113697902117523,0.2566521832670524,-0.19710113607704613,-0.10664689122296964,1.3071803553389476,0.944251842357547,-1.9793960989581536,-2.935582309442026,-0.7779515129357659
4-Regular Graph,log-normal,5,0.5579962117835761,-0.45964085168871455,0.2366492710788819,-0.45388681297080924,0.2003819807620406,-1.5147260215548508,-0.5045006941397232,-3.313488284580062,-1.8375212390250222,-0.7285802534702037
4-Regular Graph,normal,5,-0.1521063344044375,0.5310723121578342,-0.07073856668217973,-0.6895686978597211,0.14432987466668493,1.0370160686188301,-0.5683384561380755,-0.5551014598265034,-0.2902811918399314,0.323965965938147
4-Regular Graph,uniform,5,-0.8296388059131656,0.05520234521548162,0.3660715741435764,0.0928228999033264,0.21254819884689902,0.7680115344308164,0.49302675974157495,0.6194358065578823,-0.0726261439353866,0.263278074301898
4-Regular Graph,uniform_plus,5,0.40830917674083644,0.6149644261727114,0.39307466738977637,0.37903166663638976,-0.15699745792559794,0.0030596884466948526,-1.9840268338761136,0.5250005785346546,-0.3892001926249474,0.3462872134374095
Geometric,cauchy,5,-0.19330058069800482,-0.5752006619723751,0.7584247246454534,-0.1587657370566442,0.08994849312647671,-0.8642398249872116,-0.3095659516428121,0.4498001647766925,0.28553958980453364,-0.8381022940937662
Geometric,exponential,5,-0.7554293333435067,0.43396414120230115,-0.13793316366029307,-0.25575864798234194,0.15709865459856703,1.1251213338499584,-1.6341748592092422,0.05356332690107446,0.5541158800841244,-0.4414796157987598
