graph_type,weight_type,depth,median_beta_0,median_beta_1,median_beta_2,median_beta_3,median_beta_4,median_beta_5,median_beta_6,median_gamma_0,median_gamma_1,median_gamma_2,median_gamma_3,median_gamma_4,median_gamma_5,median_gamma_6
3-Regular Graph,cauchy,7,-0.11308045055549674,-0.6840592119879554,0.08386015257171661,0.4616935949175778,-0.44263925533932935,-0.4155579763523177,1.3722555347137175,-0.909253616978747,1.361782845400957,-1.2928750362298977,-0.8241815814825006,0.3393817360919283,-0.7984265446232921,-0.2578245629123797
3-Regular Graph,exponential,7,0.5327837222850016,0.22234697217776894,0.1655966708159662,-0.37948091393539546,-0.19229995137623607,0.4465265637249054,-0.10556551275090828,1.4168133099191835,-0.11294546145218476,3.535147954362874,-1.7104288093892195,0.24197569255741905,0.7494207153354694,-0.2476465867816744
3-Regular Graph,log-normal,7,0.4745778114970516,-0.47647202503452657,0.15221083771260008,0.39115769080430707,0.06619026550365104,0.216567614423402,-0.5104330948503221,-0.22727609225876244,1.85590907714784,1.3734461686466242,0.1978145769007286,-0.4783594099093692,2.547048923949898,-1.538237001806841
3-Regular Graph,normal,7,-0.09010531371518402,-0.5895076970738704,-0.17473702294952626,-0.11912911396184925,0.5728866317202873,0.2234478663053178,-0.02799650110832487,-1.1875233426359388,0.815068334554498,0.11300088850597104,0.8873750815749397,-0.5676805177737374,-0.41234609205024253,0.510768278442787
3-Regular Graph,uniform,7,0.7998815398412067,-0.4766139089474975,0.08300036990083506,0.43339505065595174,-0.8346332415828309,0.5777461989074513,-0.13400143884781354,-1.114708127790945,0.37588704009123936,-2.209500106026508,-0.6206086169911476,1.1673636893416917,-0.292546380443557,-1.0679917336074833
3-Regular Graph,uniform_plus,7,-0.3592140034438595,0.8292162512291921,-0.7212788690184364,-0.27407268851451816,0.24997097959074105,0.12881761989717697,-0.02080760266740289,0.9302486672770218,-0.7700986633704595,2.425523529833457,-0.4843565281063049,0.35170661367816936,-0.893772491693716,0.15772922861570432
4-Regular Graph,cauchy,7,0.6887290869162209,-0.12776681128069103,0.24591162123371033,-0.5070918335869408,-0.5366376332957282,-0.33850232965797966,-0.13165042054922996,0.5993241507701077,0.7309616848258145,-0.4379323538093317,-0.802539188627778,-0.01888616049651186,-0.21897064849893078,-0.1729112337626847
4-Regular Graph,exponential,7,-0.017942986231695945,-0.1515103761115101,0.29210358052076263,-0.4831059185243086,0.1542424043520942,-1.1360641177037492,0.00485554447063731,0.799450628243164,0.6482350502340402,-0.48636097431816305,-1.4112629431086647,-0.7454971563170325,-0.9870939797311831,-0.13831821064219163
4-Regular Graph,log-normal,7,0.5879532733485688,-0.04925351555934636,-1.159150252716905,0.59337796784012,-0.08168749851417947,-0.35068548258473775,0.11220324436598035,-1.572775118596155,0.21679953577835173,1.245242112490395,-0.4330365188351346,0.7113574863338648,-1.6130765075439562,-0.4015777377161156
4-Regular Graph,normal,7,-0.464767209241999,0.15040603381601164,-0.4322681423303448,0.3736718896308686,-0.6382025163404812,0.06833791020199394,-0.8064489153363061,-0.7979077854867295,-0.7903972377259166,-0.7773134337201651,-0.017019063849569638,-2.173410136137055,0.29677357119770004,0.3037450262577615
4-Regular Graph,uniform,7,-0.3673599169074064,-1.1267896942178317,-0.5991969251448004,0.1257904197457101,-0.3554100474681496,0.20852094531217968,-0.14549908517646692,-0.823015591003279,-1.8670779811547211,0.535315676180341,0.4327254237551113,0.7346370903845807,-0.3248656668621027,-0.5194867388491601
4-Regular Graph,uniform_plus,7,0.5463498217686618,-0.08387309241209807,-0.13357499445076054,-0.1939500468559606,-0.311869051654684,1.142967715877706,0.13969424609216124,0.9087514622531728,-0.8220792668966541,-0.40266921910741393,-1.2624155820948344,0.45767063526564444,-0.5788521256243699,0.37291794149891355
Geometric,cauchy,7,0.09379755732765183,-0.4470154273860588,0.629770725806458,0.687784987753268,0.42142279857466347,-0.5428415813200957,-0.09374945339073748,-0.9543039504228774,0.04321883605897309,0.633054836413404,-0.6270373323916594,-1.5110553408728475,0.2247666002383722,-0.6574081341763796
Geometric,exponential,7,-0.24432822347760194,0.49229078894580625,-0.09422399368927366,0.2496545281419229,-0.6908718378162633,-0.15005657415533413,0.35055566765035034,1.0941134214475428,0.946195596048795,0.6066772825799378,-0.7463303600786659,-1.8517937537760683,-1.8496961480775007,0.0028912855139732333
Geometric,log-normal,7,-0.5254179431628045,-0.14497245109510698,-0.040427376313993985,0.5833749411539262,-0.31147022904207766,-0.09643790895124923,-0.12060280261466935,0.9961662102729907,-1.151182989435691,-1.770233736254101,0.4841659783026835,-0.3687171869245195,0.41829467038021,-1.3821052005579006
Geometric,normal,7,0.14807671015930196,0.08688219364192885,0.14454964447319604,-0.7700644853008584,-0.45976567832873505,-0.6040524778876087,-0.2986922832462895,-0.7296465826793301,-0.9631530772474001,0.02265081799083299,-0.04419897545757284,-0.24744429051190864,0.4580684139504258,1.5629579003163605
Geometric,uniform,7,-0.01784136657975076,-0.48769493553460297,0.6931474336088219,-0.5175726055743172,0.3420538961152302,0.016178595482700224,-0.11542662416308866,-0.6686224495871684,1.350328604574523,-0.2988745757030485,0.27625589367091863,0.7824021763021731,0.34532218752816024,-0.19259650408284373
Geometric,uniform_plus,7,0.16002323244459254,-0.3989334351031445,-0.740441420596401,-0.33004589905267345,0.19873236671927896,-0.4309123259288705,-0.11035580039317527,-0.6413444986047309,0.5570357423846979,-0.7278882631722601,-0.8219876080090707,0.3274080222147613,0.7018785330357689,0.30687798514554454
Nearly Complete BiPartite,cauchy,7,-0.29520207600649706,-0.45534985230257247,-0.6852652726929966,-0.317001971358242,0.14291879543130895,0.6906632793355196,-0.3300628358327035,-0.8340016009205695,1.4303302749396454,0.30565572974242927,0.20685277245671901,-0.45681582315664504,1.097534828260375,0.3573259240788139
Nearly Complete BiPartite,exponential,7,-0.5597551658218343,0.5696054468345249,-0.3832801005548536,0.33208652294177776,-0.7250272649286181,0.4682562295646894,-0.14095583921313312,-1.1331947696614417,-1.3298368978467003,0.3829412730105201,0.5710431819948427,-0.6488382262364087,-0.025456135429884633,-0.16377245630676773
Nearly Complete BiPartite,log-normal,7,0.4176387925257141,-0.4387998756411518,-0.09838582321324864,-0.231574504147624,0.30844870886163533,0.1324573507371635,0.20830916213728834,-0.5162461513854278,1.86984614824435,-0.45486382557391514,-0.5138034880305782,-0.13255951974605068,-1.0829914536418057,0.36034425953372345
Nearly Complete BiPartite,normal,7,-0.09818714266128731,1.0352335500693295,0.358032866380763,-0.6733433918208696,-0.2472848456326847,0.17996922053211872,-0.12249964159202203,-0.9262668626267897,0.06968020222672516,0.3769245338655348,-1.5581823202099727,0.24118000100505632,0.17103289839007782,-0.28948341086318236
Nearly Complete BiPartite,uniform,7,-0.6286597070500781,-0.46886149274601563,-0.20177152833519713,0.4899014926055837,0.5182186215249887,0.19126424032192008,-0.12303538588799028,-0.7360772862275051,-1.4074050096933317,-0.6906205696692149,0.4832521924372769,-0.10172991156496985,-0.11872897894059645,-1.0602036809641748
Nearly Complete BiPartite,uniform_plus,7,-0.11284669939443805,-0.37759203118415596,-0.4287647687489216,-0.6695380604180066,-0.4868048588489033,0.32901035500754444,-0.1241297242943851,0.8565779904678024,-0.9183653875234356,0.480676006167329,-0.505191693189397,0.3776286956376218,1.2351330889389356,-1.3758686291558608
Power Law Tree,cauchy,7,0.5833839615965933,0.012358603210626942,0.5024605135000859,-0.30706484393448497,0.20902268738872132,-0.21206099857232905,-0.20411772810339734,-1.253472963880528,-3.0299075389208596,1.374862056135417,1.003534941306641,2.2422392304683596,-0.2849591796717261,1.765257652092902
Power Law Tree,exponential,7,0.030305610242503042,0.3874694310496192,0.5014929406423565,0.5513716988284969,-0.08357504951999367,-0.2216836847780542,-0.12289785750356469,1.6439042883265969,1.9171817449440938,-1.6667579069502654,1.2389071702591623,-1.531124729081422,1.3740158980499302,-0.824274607422746
