graph_type,weight_type,depth,median_beta_0,median_beta_1,median_beta_2,median_beta_3,median_beta_4,median_beta_5,median_beta_6,median_beta_7,median_gamma_0,median_gamma_1,median_gamma_2,median_gamma_3,median_gamma_4,median_gamma_5,median_gamma_6,median_gamma_7
3-Regular Graph,cauchy,8,0.7912285555744211,0.2282229700594151,-0.1556340140554513,0.3612575188966083,0.4727365571660048,-0.04372294440219611,1.0561852458413477,0.9372657903401358,-1.053188638975632,-1.143548267567759,-0.6641210297369573,-2.7374153356349575,-0.016689269498029707,0.36249495424361156,-0.27391912939063706,1.2270686169053746
3-Regular Graph,exponential,8,-0.28886490022223665,-0.6024153325153292,0.1119829270941997,-0.6806069670163755,0.5506422485897846,0.5625291410746582,-0.242329139692993,-0.16566209919567892,1.788564670841565,1.140637369044883,-1.2034033258389165,0.9977222970953719,0.5661744300444826,-2.016246954465061,-3.5254754362846654,-1.1741767872724977
3-Regular Graph,log-normal,8,0.4729709304859759,-0.23970170760241,0.1845887636598516,0.24343859168828091,0.2441808310247997,0.08810689958907081,0.0905723611051501,-0.466769300196338,-1.4446737415403477,-1.345285798283772,2.766942355554958,2.984735279759561,1.173538928674916,-1.1530785572522555,2.1234008504455115,-1.6670076516477166
3-Regular Graph,normal,8,-0.5463537131005902,-0.08812091665010274,0.42133757629184776,-0.34769565719664747,-0.9104691962400961,-0.14001870204356115,0.9399377913945695,0.14905395824264472,1.1676044228232314,0.025940788025432704,1.500438786806008,-0.7151011232548965,0.23381869202780273,2.3265304293781597,0.6979882594224084,-2.0161281254543293
3-Regular Graph,uniform,8,0.17230153101536258,-0.27171343436677564,-0.3897590648018203,0.6569388246553947,0.3414383207146899,0.3773210578178391,0.2754114694410579,-0.14299953255022085,-0.994170314202887,-1.0280127696388357,-2.267698028136885,-1.2558976261679027,1.3732037199134086,2.400387154449083,-0.30575518494437187,-3.1839361596699836
3-Regular Graph,uniform_plus,8,0.6239113581166499,0.2552186272501803,0.23068771652004735,0.21650273019858343,-0.3076599496748249,-0.38131480419257746,-0.44424587930341536,0.4529768969199822,-1.0919067569008547,-2.108291136847367,1.2543303541251585,0.034009470798252756,0.6906110768248552,0.5446086658197035,0.006149274281635642,0.17530510250078343
4-Regular Graph,cauchy,8,0.4583681280664895,0.39846507086796323,0.14635529104683004,0.6234381878064279,-0.4223579198032163,0.18875833606811238,-0.6288975737300984,0.10408055078757115,0.9246467653755925,-1.2423460491425913,0.7109108789375735,-1.917336072553123,-0.05299394753683172,-0.38366155478583736,-1.0995096763899224,-0.41292247393386505
4-Regular Graph,exponential,8,0.40182544249221025,-0.35755386667116507,0.31688232717560105,0.44276419002767314,0.01373581054436232,-0.3486453768352576,0.16380320089960182,0.5433632244954076,1.1111202508192055,2.36815242670279,2.852985918921437,-0.024178013478428906,-0.45020575020801135,1.868843066728774,0.9762063171571029,-0.18702586351229664
4-Regular Graph,log-normal,8,0.35933470938031425,0.41919710572795504,0.3488053783474378,0.2591410222954909,0.6377634081299676,0.09155076747407653,0.5081482791821781,-0.0143818278893597,-0.29243040454157404,1.158844015544816,0.8638467739354827,-0.5805666291471617,-1.1254504540293815,0.47578830424177787,1.201342332579084,-0.4621916239907966
4-Regular Graph,normal,8,0.7847316592787439,0.17599973263439977,0.3958420724535485,1.0082033783721265,0.2497429687622299,0.26557301078329887,0.2375344986678094,-0.10339981711010979,-0.7918863974310545,-0.7613287034941936,1.7605059505255563,0.41898785503503766,-0.3846109185758916,1.9078472854677242,-0.283198301738821,2.7158609704135452
