method,num_evals,function_value,variables,approximation_ratio,new_method
IMFIL,1,-8.035827212090311,"[ 0.74281787  1.79735401 -0.88259837  1.09115145  1.81601555  2.07438292
  2.22902379  2.32904427  2.42957379  2.63009933  2.87648725  3.04121844
  3.38553578  3.62802578  3.92681878  0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.6181405547761778,IMFIL
IMFIL,2,-7.349995078410435,"[0.74281787 1.79735401 5.40058694 1.09115145 1.81601555 2.07438292
 2.22902379 2.32904427 2.42957379 2.63009933 2.87648725 3.04121844
 3.38553578 3.62802578 3.92681878 0.52552055 0.98597863 0.53087503
 0.21720785 0.2756835  0.26775819 0.25367064 0.25226254 0.25763097
 0.24629236 0.21190216 0.17350914 0.1348919  0.09922215 0.04400048]",0.5653842368008027,IMFIL
IMFIL,3,-8.007310768499945,"[-5.54036744  1.79735401 -0.88259837  1.09115145  1.81601555  2.07438292
  2.22902379  2.32904427  2.42957379  2.63009933  2.87648725  3.04121844
  3.38553578  3.62802578  3.92681878  0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.6159469821923035,IMFIL
IMFIL,4,-8.135345515622195,"[ 0.74281787 -4.4858313  -0.88259837  1.09115145  1.81601555  2.07438292
  2.22902379  2.32904427  2.42957379  2.63009933  2.87648725  3.04121844
  3.38553578  3.62802578  3.92681878  0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.625795808894015,IMFIL
IMFIL,5,-8.255199838760651,"[ 0.74281787  1.79735401 -0.88259837 -5.19203386  1.81601555  2.07438292
  2.22902379  2.32904427  2.42957379  2.63009933  2.87648725  3.04121844
  3.38553578  3.62802578  3.92681878  0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.6350153722123578,IMFIL
IMFIL,6,-8.095994624771635,"[ 0.74281787  1.79735401 -0.88259837  1.09115145 -4.46716976  2.07438292
  2.22902379  2.32904427  2.42957379  2.63009933  2.87648725  3.04121844
  3.38553578  3.62802578  3.92681878  0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.6227688172901258,IMFIL
IMFIL,7,-7.566617204376658,"[ 0.74281787  1.79735401 -0.88259837  1.09115145  1.81601555 -4.20880239
  2.22902379  2.32904427  2.42957379  2.63009933  2.87648725  3.04121844
  3.38553578  3.62802578  3.92681878  0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.5820474772597429,IMFIL
IMFIL,8,-7.8492075681305415,"[ 0.74281787  1.79735401 -0.88259837  1.09115145  1.81601555  2.07438292
 -4.05416151  2.32904427  2.42957379  2.63009933  2.87648725  3.04121844
  3.38553578  3.62802578  3.92681878  0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.6037851975485032,IMFIL
IMFIL,9,-7.679949169947057,"[ 0.74281787  1.79735401 -0.88259837  1.09115145  1.81601555  2.07438292
  2.22902379 -3.95414104  2.42957379  2.63009933  2.87648725  3.04121844
  3.38553578  3.62802578  3.92681878  0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.5907653207651582,IMFIL
IMFIL,10,-8.136683026541382,"[ 0.74281787  1.79735401 -0.88259837  1.09115145  1.81601555  2.07438292
  2.22902379  2.32904427 -3.85361151  2.63009933  2.87648725  3.04121844
  3.38553578  3.62802578  3.92681878  0.52552055  0.98597863  0.53087503
  0.21720785  0.2756835   0.26775819  0.25367064  0.25226254  0.25763097
  0.24629236  0.21190216  0.17350914  0.1348919   0.09922215  0.04400048]",0.6258986943493371,IMFIL
